"mic0_pos_x","mic0_pos_y","mic0_pos_z","mic1_pos_x","mic1_pos_y","mic1_pos_z","mic2_pos_x","mic2_pos_y","mic2_pos_z","mic3_pos_x","mic3_pos_y","mic3_pos_z","mic4_pos_x","mic4_pos_y","mic4_pos_z","mic5_pos_x","mic5_pos_y","mic5_pos_z","mic6_pos_x","mic6_pos_y","mic6_pos_z","mic7_pos_x","mic7_pos_y","mic7_pos_z","config_id","fs_hz","room_dim_x","room_dim_y","room_dim_z","rt60_target_s","is_anechoic","source_pos_x","source_pos_y","source_pos_z","array_center_x_config","array_center_y_config","array_center_z_config","array_center_x_actual","array_center_y_actual","array_center_z_actual","array_orientation_axis","actual_dist_src_to_array_center_m","actual_azimuth_src_to_array_center_deg","num_mics_configured","num_mics_processed","mic_separation_m","rir_file_basename"
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"","","","","","","","","","","","","room5x5x5_anec_4mics",48000,5.0,5.0,5.0,0.05,True,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,4,4,0.1,"rir_room5x5x5_anec_4mics"
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,"room5x5x5_anec_8mics",48000,5.0,5.0,5.0,0.05,True,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,8,8,0.1,"rir_room5x5x5_anec_8mics"
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"","","","","","","","","","","","","room5x5x5_medrev_4mics",48000,5.0,5.0,5.0,0.5,False,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,4,4,0.1,"rir_room5x5x5_medrev_4mics"
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,"room5x5x5_medrev_8mics",48000,5.0,5.0,5.0,0.5,False,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,8,8,0.1,"rir_room5x5x5_medrev_8mics"
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"","","","","","","","","","","","","room5x5x5_highrev_4mics",48000,5.0,5.0,5.0,1.0,False,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,4,4,0.1,"rir_room5x5x5_highrev_4mics"
2.15,2.5,2.5,2.25,2.5,2.5,2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,2.75,2.5,2.5,2.85,2.5,2.5,"room5x5x5_highrev_8mics",48000,5.0,5.0,5.0,1.0,False,1.25,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",1.768,-135.0,8,8,0.1,"rir_room5x5x5_highrev_8mics"
4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,"","","","","","","","","","","","","room10x10x10_anec_4mics",48000,10.0,10.0,10.0,0.05,True,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,4,4,0.1,"rir_room10x10x10_anec_4mics"
4.65,5.0,5.0,4.75,5.0,5.0,4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,5.25,5.0,5.0,5.35,5.0,5.0,"room10x10x10_anec_8mics",48000,10.0,10.0,10.0,0.05,True,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,8,8,0.1,"rir_room10x10x10_anec_8mics"
4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,"","","","","","","","","","","","","room10x10x10_medrev_4mics",48000,10.0,10.0,10.0,0.5,False,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,4,4,0.1,"rir_room10x10x10_medrev_4mics"
4.65,5.0,5.0,4.75,5.0,5.0,4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,5.25,5.0,5.0,5.35,5.0,5.0,"room10x10x10_medrev_8mics",48000,10.0,10.0,10.0,0.5,False,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,8,8,0.1,"rir_room10x10x10_medrev_8mics"
4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,"","","","","","","","","","","","","room10x10x10_highrev_4mics",48000,10.0,10.0,10.0,1.0,False,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,4,4,0.1,"rir_room10x10x10_highrev_4mics"
4.65,5.0,5.0,4.75,5.0,5.0,4.85,5.0,5.0,4.95,5.0,5.0,5.05,5.0,5.0,5.15,5.0,5.0,5.25,5.0,5.0,5.35,5.0,5.0,"room10x10x10_highrev_8mics",48000,10.0,10.0,10.0,1.0,False,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"x",3.536,-135.0,8,8,0.1,"rir_room10x10x10_highrev_8mics"
